module,gene,kME,GS_RA,connectivity,is_hub
yellow,LONRF1,0.881,0.441,74.86,TRUE
yellow,TBK1,0.863,0.51,74.68,TRUE
yellow,EXOC6,0.881,0.558,74.36,TRUE
yellow,TRIM23,0.856,0.502,74.08,TRUE
yellow,MORC3,0.845,0.479,74.03,TRUE
yellow,YPEL5,0.862,0.58,74.01,TRUE
yellow,TMEM170B,0.875,0.477,73.43,TRUE
yellow,YTHDF3,0.848,0.427,72.94,TRUE
yellow,ABHD13,0.845,0.53,72.85,TRUE
yellow,SHOC2,0.865,0.444,72.44,TRUE
yellow,HMGB2,0.862,0.631,71.76,TRUE
yellow,IDI1,0.857,0.469,71.46,TRUE
yellow,PGGT1B,0.856,0.445,71.37,TRUE
yellow,FAS,0.871,0.512,71.29,TRUE
yellow,TMEM167A,0.845,0.505,70.86,TRUE
yellow,SPTLC1,0.832,0.447,70.65,TRUE
yellow,FBXO30,0.849,0.486,70.31,TRUE
yellow,FAM8A1,0.857,0.494,70.2,TRUE
yellow,SENP6,0.844,0.465,70.16,TRUE
yellow,MFN1,0.843,0.455,70.03,TRUE
yellow,TMEM167B,0.85,0.534,70.03,TRUE
yellow,CHMP5,0.831,0.562,69.87,TRUE
yellow,GALNT3,0.866,0.533,69.51,TRUE
yellow,FPGT,0.837,0.507,69.43,TRUE
yellow,LRRK2,0.859,0.509,69.05,TRUE
yellow,TRAPPC6B,0.827,0.482,68.88,TRUE
yellow,C9orf72,0.861,0.492,68.74,TRUE
yellow,ATP11B,0.836,0.496,68.37,TRUE
yellow,RNF111,0.864,0.352,68.11,TRUE
yellow,SKIL,0.844,0.491,67.89,TRUE
yellow,SLC25A40,0.845,0.462,67.76,TRUE
yellow,JAK2,0.86,0.539,67.3,TRUE
yellow,MYO5A,0.84,0.393,67.09,TRUE
yellow,BAG4,0.829,0.488,66.84,TRUE
yellow,STARD3NL,0.842,0.588,66.8,TRUE
yellow,TMEM33,0.862,0.474,66.65,TRUE
yellow,KIAA1109,0.834,0.45,66.26,TRUE
yellow,ARID4A,0.842,0.419,66.23,TRUE
yellow,SYNJ1,0.855,0.392,66.14,TRUE
yellow,RMI1,0.864,0.487,65.7,TRUE
yellow,RGS18,0.846,0.501,65.63,TRUE
yellow,ZNRF2,0.826,0.453,65.44,TRUE
yellow,ACAP2,0.854,0.391,65.28,TRUE
yellow,SAMSN1,0.835,0.574,65.27,TRUE
yellow,GPR65,0.816,0.509,65.22,TRUE
yellow,SMCHD1,0.849,0.462,64.86,TRUE
yellow,TMEM30A,0.851,0.414,64.81,TRUE
yellow,BTBD10,0.856,0.547,64.79,TRUE
yellow,RB1,0.83,0.407,64.68,TRUE
yellow,AMN1,0.846,0.494,64.34,TRUE
yellow,PAPOLG,0.835,0.385,63.99,TRUE
yellow,SIAH1,0.841,0.46,63.72,TRUE
yellow,B3GNT2,0.825,0.485,62.62,TRUE
yellow,VTA1,0.825,0.454,62.52,TRUE
yellow,SLC35F5,0.828,0.392,61.47,TRUE
yellow,COQ10B,0.835,0.483,61.4,TRUE
yellow,ZFAND6,0.834,0.517,61.36,TRUE
yellow,KLF3,0.821,0.398,61.32,TRUE
yellow,RPGR,0.841,0.39,60.66,TRUE
yellow,B3GNT5,0.846,0.396,60.28,TRUE
yellow,ST3GAL6,0.847,0.453,60.28,TRUE
yellow,ATG3,0.822,0.484,59.96,TRUE
yellow,PKN2,0.828,0.453,59.76,TRUE
yellow,RNF13,0.841,0.477,59.76,TRUE
yellow,DMXL2,0.844,0.445,59.55,TRUE
yellow,FBXL5,0.838,0.413,59.39,TRUE
yellow,UBL3,0.814,0.458,59.16,TRUE
yellow,YAF2,0.814,0.466,58.83,TRUE
yellow,AMD1,0.816,0.409,58.51,TRUE
yellow,TAB2,0.813,0.376,58.14,TRUE
yellow,ADAM9,0.846,0.441,58.07,TRUE
yellow,ZMPSTE24,0.827,0.48,57.79,TRUE
yellow,CCNG2,0.818,0.437,57.51,TRUE
yellow,CNIH4,0.803,0.555,57.34,TRUE
yellow,GMCL1,0.824,0.484,57.13,TRUE
yellow,PMAIP1,0.813,0.456,57.12,TRUE
yellow,CYB5R4,0.828,0.477,57.01,TRUE
yellow,RNF139,0.799,0.471,56.82,FALSE
yellow,PPP1CB,0.8,0.418,56.47,FALSE
yellow,SNRK,0.8,0.367,56,FALSE
yellow,IFRD1,0.825,0.474,55.9,TRUE
yellow,PELI1,0.825,0.396,55.8,TRUE
yellow,ARL5B,0.803,0.477,55.73,TRUE
yellow,SCRN3,0.815,0.477,55.7,TRUE
yellow,TP53INP1,0.818,0.487,55.69,TRUE
yellow,PRDM10,0.818,0.348,55.55,TRUE
yellow,RNFT1,0.798,0.462,55.25,FALSE
yellow,HEATR5A,0.83,0.435,54.97,TRUE
yellow,USP38,0.825,0.337,54.81,TRUE
yellow,EGLN1,0.816,0.354,54.63,TRUE
yellow,TMEM71,0.818,0.476,54.38,TRUE
yellow,TOPORS,0.818,0.377,54.11,TRUE
yellow,TOR1AIP1,0.817,0.443,54.09,TRUE
yellow,PGM2,0.829,0.406,53.96,TRUE
yellow,LMBRD1,0.81,0.472,53.56,TRUE
yellow,BLZF1,0.801,0.465,53.54,TRUE
yellow,GNA13,0.801,0.306,53.4,TRUE
yellow,RC3H1,0.816,0.384,53.34,TRUE
yellow,JKAMP,0.795,0.464,53.26,FALSE
yellow,KRCC1,0.789,0.5,53.26,FALSE
yellow,RAB21,0.805,0.458,53.08,TRUE
yellow,IKBIP,0.823,0.447,53.06,TRUE
yellow,LYST,0.818,0.374,52.99,TRUE
yellow,FAM49B,0.819,0.441,52.51,TRUE
yellow,GAB1,0.807,0.406,52.43,TRUE
yellow,GCA,0.812,0.438,52.25,TRUE
yellow,ELOVL5,0.808,0.35,52.13,TRUE
yellow,PAN3,0.783,0.362,51.95,FALSE
yellow,S100A8,0.792,0.564,51.83,FALSE
yellow,ZNF117,0.813,0.47,51.79,TRUE
yellow,NDUFB3,0.787,0.523,51.76,FALSE
yellow,VAMP7,0.782,0.478,51.44,FALSE
yellow,CLEC4D,0.807,0.579,51.36,TRUE
yellow,RPS6KA3,0.798,0.373,51.16,FALSE
yellow,ASPH,0.819,0.383,51.12,TRUE
yellow,PRKAR1A,0.802,0.337,51.1,TRUE
yellow,SMAD4,0.785,0.334,51.06,FALSE
yellow,CCNT2,0.787,0.444,51.02,FALSE
yellow,MTMR10,0.806,0.398,50.77,TRUE
yellow,CD58,0.803,0.487,50.74,TRUE
yellow,EDEM3,0.782,0.421,50.67,FALSE
yellow,TDP2,0.811,0.407,50.56,TRUE
yellow,ABI1,0.782,0.415,50.52,FALSE
yellow,CARD8,0.806,0.405,50.18,TRUE
yellow,CPNE8,0.803,0.508,50.03,TRUE
yellow,ASB7,0.801,0.376,49.98,TRUE
yellow,SLC37A3,0.809,0.524,49.97,TRUE
yellow,CAB39,0.8,0.405,49.95,FALSE
yellow,CREB1,0.8,0.331,49.17,FALSE
yellow,ACTR10,0.785,0.555,49.04,FALSE
yellow,C4orf32,0.791,0.467,48.96,FALSE
yellow,ACSL3,0.797,0.473,48.91,FALSE
yellow,RAB5A,0.798,0.354,48.82,FALSE
yellow,RLF,0.806,0.441,48.56,TRUE
yellow,TM6SF1,0.798,0.442,48.45,FALSE
yellow,ZNF354A,0.792,0.467,48.44,FALSE
yellow,ARFIP1,0.808,0.491,48.37,TRUE
yellow,GALC,0.801,0.44,48.37,TRUE
yellow,DCTN4,0.794,0.379,48.29,FALSE
yellow,FAM105A,0.8,0.452,48.26,FALSE
yellow,HSD17B11,0.8,0.454,47.64,FALSE
yellow,ERGIC2,0.777,0.461,47.55,FALSE
yellow,WDR47,0.803,0.409,47.04,TRUE
yellow,DCUN1D1,0.777,0.409,46.84,FALSE
yellow,MED30,0.777,0.536,46.66,FALSE
yellow,MPP7,0.777,0.485,46.6,FALSE
yellow,IRAK3,0.802,0.464,46.59,TRUE
yellow,RNF146,0.794,0.505,45.73,FALSE
yellow,C16orf72,0.783,0.446,45.64,FALSE
yellow,ALCAM,0.773,0.348,45.55,FALSE
yellow,C4orf33,0.772,0.471,45.51,FALSE
yellow,VPS4B,0.778,0.326,45.51,FALSE
yellow,CPD,0.774,0.394,45.44,FALSE
yellow,MMADHC,0.768,0.569,45.41,FALSE
yellow,KBTBD7,0.786,0.434,45.4,FALSE
yellow,ADAM10,0.78,0.43,45.35,FALSE
yellow,BACH1,0.785,0.299,45.28,FALSE
yellow,DUSP11,0.768,0.504,45.21,FALSE
yellow,ARRDC3,0.784,0.466,45.02,FALSE
yellow,CHMP1B,0.784,0.432,44.84,FALSE
yellow,REEP3,0.765,0.416,44.81,FALSE
yellow,COMMD2,0.771,0.419,44.12,FALSE
yellow,RHOQ,0.782,0.346,44.03,FALSE
yellow,SPAG9,0.77,0.327,43.76,FALSE
yellow,TMBIM4,0.78,0.458,43.72,FALSE
yellow,KIDINS220,0.777,0.303,43.31,FALSE
yellow,FGL2,0.764,0.37,43.14,FALSE
yellow,MOSPD2,0.781,0.442,42.58,FALSE
yellow,NPTN,0.769,0.433,42.56,FALSE
yellow,SCYL2,0.783,0.358,42.48,FALSE
yellow,NFKBIZ,0.773,0.431,42.14,FALSE
yellow,DPH3,0.775,0.491,41.96,FALSE
yellow,TXNDC17,0.745,0.493,41.9,FALSE
yellow,SULT1B1,0.769,0.477,41.84,FALSE
yellow,SLU7,0.765,0.403,41.48,FALSE
yellow,SEMA3C,0.775,0.511,41.32,FALSE
yellow,CKLF,0.751,0.516,40.99,FALSE
yellow,RNF141,0.766,0.357,40.96,FALSE
yellow,OTUD1,0.745,0.402,40.74,FALSE
yellow,C5orf30,0.771,0.593,40.63,FALSE
yellow,PPM1D,0.774,0.396,40.63,FALSE
yellow,PPP1R15B,0.758,0.424,40.36,FALSE
yellow,HMGCR,0.765,0.328,40.34,FALSE
yellow,GOLGA7,0.748,0.297,40.29,FALSE
yellow,RGS2,0.758,0.439,40.05,FALSE
yellow,POC1B,0.749,0.375,39.78,FALSE
yellow,ZNF776,0.764,0.355,39.64,FALSE
yellow,FYB,0.751,0.356,39.48,FALSE
yellow,HSDL2,0.746,0.336,39.41,FALSE
yellow,RAD21,0.735,0.256,39.37,FALSE
yellow,SLK,0.763,0.433,39.23,FALSE
yellow,MFAP3,0.768,0.371,38.89,FALSE
yellow,ANXA3,0.741,0.481,38.78,FALSE
yellow,RAP1A,0.76,0.324,38.78,FALSE
yellow,VCPIP1,0.761,0.517,38.26,FALSE
yellow,STK3,0.758,0.322,38.15,FALSE
yellow,PTPN12,0.754,0.349,37.96,FALSE
yellow,LRMP,0.745,0.362,37.95,FALSE
yellow,GK,0.739,0.34,37.62,FALSE
yellow,B2M,0.741,0.5,36.81,FALSE
yellow,AGTPBP1,0.746,0.395,36.35,FALSE
yellow,WDFY1,0.726,0.431,36.12,FALSE
yellow,NUP50,0.746,0.348,35.89,FALSE
yellow,LXN,0.744,0.436,35.85,FALSE
yellow,MAN1A1,0.747,0.406,35.69,FALSE
yellow,TMEM59,0.733,0.48,35.59,FALSE
yellow,RCBTB2,0.747,0.295,35,FALSE
yellow,GRAMD1C,0.739,0.338,34.97,FALSE
yellow,SLC22A15,0.74,0.452,34.91,FALSE
yellow,UPF2,0.738,0.381,34.67,FALSE
yellow,ZFAND5,0.721,0.454,34.63,FALSE
yellow,PTEN,0.737,0.356,34.53,FALSE
yellow,ZNF281,0.743,0.475,34.52,FALSE
yellow,LPCAT2,0.737,0.386,34.38,FALSE
yellow,HORMAD1,0.747,0.462,34.21,FALSE
yellow,SLC35A5,0.742,0.494,34.17,FALSE
yellow,JAG1,0.751,0.405,34.13,FALSE
yellow,KDM3A,0.712,0.277,33.96,FALSE
yellow,PAPOLA,0.706,0.339,33.92,FALSE
yellow,RYBP,0.731,0.239,33.86,FALSE
yellow,DSE,0.749,0.345,33.63,FALSE
yellow,TXN,0.711,0.519,33.31,FALSE
yellow,KRAS,0.729,0.439,33.03,FALSE
yellow,GNB4,0.725,0.408,32.86,FALSE
yellow,SRGN,0.73,0.434,32.74,FALSE
yellow,NECAP1,0.726,0.406,32.67,FALSE
yellow,ST6GALNAC3,0.741,0.508,32.56,FALSE
yellow,OGFRL1,0.732,0.336,32.5,FALSE
yellow,GPR160,0.735,0.503,32.41,FALSE
yellow,FEM1C,0.73,0.52,32.32,FALSE
yellow,VNN2,0.721,0.45,32.23,FALSE
yellow,SNX18,0.722,0.259,31.91,FALSE
yellow,STXBP5,0.719,0.42,31.82,FALSE
yellow,OSGIN2,0.721,0.446,31.81,FALSE
yellow,HIF1A,0.724,0.406,31.77,FALSE
yellow,SAMD8,0.721,0.366,31.75,FALSE
yellow,NHS,0.722,0.355,31.38,FALSE
yellow,NMI,0.712,0.484,31.37,FALSE
yellow,AZIN1,0.712,0.371,31.33,FALSE
yellow,TLR4,0.713,0.333,31.25,FALSE
yellow,IVNS1ABP,0.723,0.459,30.88,FALSE
yellow,UEVLD,0.724,0.392,30.72,FALSE
yellow,ATP8B4,0.724,0.465,30.42,FALSE
yellow,GMFG,0.689,0.41,30.38,FALSE
yellow,ENTPD1,0.695,0.436,30.22,FALSE
yellow,TCFL5,0.711,0.397,30.04,FALSE
yellow,TM9SF2,0.717,0.326,29.78,FALSE
yellow,SGMS2,0.716,0.435,29.72,FALSE
yellow,RAB2A,0.712,0.338,29.68,FALSE
yellow,WDR20,0.714,0.267,29.2,FALSE
yellow,PARP8,0.713,0.315,29.14,FALSE
yellow,CUL4B,0.686,0.428,28.94,FALSE
yellow,RNASEL,0.702,0.395,28.84,FALSE
yellow,FAM174A,0.701,0.338,28.74,FALSE
yellow,TLE4,0.697,0.27,28.61,FALSE
yellow,CLEC4A,0.703,0.383,28.44,FALSE
yellow,TRIP4,0.707,0.484,28.33,FALSE
yellow,HECW2,0.695,0.461,28.23,FALSE
yellow,AFTPH,0.689,0.28,27.86,FALSE
yellow,SFT2D1,0.697,0.508,27.8,FALSE
yellow,STAM2,0.706,0.326,27.68,FALSE
yellow,SBF2,0.684,0.298,27.45,FALSE
yellow,MAPK1,0.673,0.289,27.41,FALSE
yellow,KPNA4,0.692,0.257,27.29,FALSE
yellow,CHD1,0.677,0.445,27.27,FALSE
yellow,UBE2D1,0.699,0.314,27.26,FALSE
yellow,PLA2G4A,0.687,0.428,27.2,FALSE
yellow,ASAH1,0.705,0.403,26.63,FALSE
yellow,SAT1,0.683,0.445,26.39,FALSE
yellow,ZNF350,0.699,0.424,26.26,FALSE
yellow,MTM1,0.69,0.453,26.11,FALSE
yellow,C20orf197,0.689,0.422,26.02,FALSE
yellow,HBP1,0.68,0.37,25.81,FALSE
yellow,AHCTF1,0.672,0.263,25.64,FALSE
yellow,SLC40A1,0.677,0.401,25.25,FALSE
yellow,YIPF4,0.681,0.371,25.15,FALSE
yellow,DPY19L3,0.689,0.445,25.12,FALSE
yellow,ANKRD50,0.674,0.341,24.81,FALSE
yellow,SEC24B,0.653,0.215,24.63,FALSE
yellow,NFE2L2,0.68,0.291,24.62,FALSE
yellow,ARL3,0.68,0.373,24.41,FALSE
yellow,CHMP2B,0.676,0.458,24.33,FALSE
yellow,TMX4,0.67,0.368,24.31,FALSE
yellow,NSMAF,0.683,0.314,24.27,FALSE
yellow,DOCK4,0.671,0.363,24.21,FALSE
yellow,CARD16,0.666,0.436,24.03,FALSE
yellow,COQ2,0.667,0.537,23.45,FALSE
yellow,KLHL5,0.671,0.274,23.45,FALSE
yellow,SLCO4C1,0.683,0.419,23.31,FALSE
yellow,HDGFRP3,0.686,0.396,23.29,FALSE
yellow,NFYA,0.658,0.258,23.28,FALSE
yellow,LAMP2,0.656,0.32,23.26,FALSE
yellow,KCTD12,0.647,0.248,23.01,FALSE
yellow,ZNF200,0.662,0.329,22.87,FALSE
yellow,THAP6,0.665,0.363,22.79,FALSE
yellow,MYL12B,0.647,0.483,22.26,FALSE
yellow,FAM198B,0.647,0.425,22.1,FALSE
yellow,OAT,0.663,0.397,22.07,FALSE
yellow,GNAQ,0.649,0.266,22.01,FALSE
yellow,QKI,0.647,0.31,21.68,FALSE
yellow,CCNDBP1,0.644,0.445,21.02,FALSE
yellow,IQGAP2,0.659,0.381,20.92,FALSE
yellow,PPP2R3C,0.651,0.457,20.91,FALSE
yellow,RNF103,0.638,0.406,20.84,FALSE
yellow,KCNJ2,0.635,0.308,20.64,FALSE
yellow,KIN,0.657,0.446,20.64,FALSE
yellow,DEGS1,0.658,0.32,20.59,FALSE
yellow,ZNF217,0.621,0.228,20.04,FALSE
yellow,ARNTL,0.651,0.321,20,FALSE
yellow,PDE4B,0.633,0.289,19.95,FALSE
yellow,FAM199X,0.646,0.29,19.91,FALSE
yellow,AGFG1,0.652,0.403,19.67,FALSE
yellow,MS4A6A,0.606,0.441,19.65,FALSE
yellow,TMOD2,0.64,0.347,19.4,FALSE
yellow,DRAM1,0.62,0.4,19.06,FALSE
yellow,ZCCHC6,0.63,0.303,19.05,FALSE
yellow,IL18R1,0.646,0.403,19.04,FALSE
yellow,HHEX,0.64,0.298,18.96,FALSE
yellow,ACTR2,0.614,0.205,18.86,FALSE
yellow,PIGX,0.62,0.353,18.61,FALSE
yellow,SPAG1,0.644,0.423,18.58,FALSE
yellow,PWWP2A,0.622,0.326,18.55,FALSE
yellow,EAPP,0.626,0.513,18.34,FALSE
yellow,NKAP,0.636,0.482,18.32,FALSE
yellow,GPR34,0.639,0.38,18.31,FALSE
yellow,KDM6A,0.625,0.352,18.29,FALSE
yellow,SLC16A6,0.629,0.472,18.27,FALSE
yellow,MSL3,0.627,0.439,18.25,FALSE
yellow,CDK5R1,0.637,0.47,18.16,FALSE
yellow,CUL3,0.62,0.243,18.14,FALSE
yellow,MPZL2,0.641,0.383,18.12,FALSE
yellow,PIK3CA,0.626,0.364,18.08,FALSE
yellow,VEGFA,0.641,0.344,18.07,FALSE
yellow,TATDN3,0.639,0.329,18.04,FALSE
yellow,PDZD8,0.627,0.258,17.88,FALSE
yellow,GDAP2,0.633,0.335,17.62,FALSE
yellow,PIGB,0.625,0.241,17.49,FALSE
yellow,WDR26,0.625,0.325,17.49,FALSE
yellow,PRPF18,0.617,0.395,17.48,FALSE
yellow,DSC2,0.626,0.328,17.25,FALSE
yellow,RFX3,0.608,0.352,17.21,FALSE
yellow,ZNF701,0.621,0.346,16.96,FALSE
yellow,ZC3H12C,0.616,0.361,16.91,FALSE
yellow,ARG1,0.612,0.52,16.88,FALSE
yellow,TXNDC12,0.616,0.407,16.81,FALSE
yellow,PHTF1,0.626,0.483,16.79,FALSE
yellow,ZNF586,0.603,0.413,16.77,FALSE
yellow,MED31,0.593,0.351,16.76,FALSE
yellow,SLFN12,0.611,0.433,16.65,FALSE
yellow,ZSCAN16,0.612,0.412,16.42,FALSE
yellow,RBM18,0.618,0.35,16.4,FALSE
yellow,BTN2A1,0.603,0.347,16.33,FALSE
yellow,UBE2D3,0.613,0.28,16.13,FALSE
yellow,MBOAT1,0.618,0.392,16.02,FALSE
yellow,S100A12,0.581,0.422,15.98,FALSE
yellow,VAV3,0.616,0.289,15.93,FALSE
yellow,TMOD3,0.619,0.388,15.87,FALSE
yellow,ZNF33A,0.598,0.269,15.71,FALSE
yellow,TOPBP1,0.597,0.205,15.53,FALSE
yellow,ABCC2,0.606,0.263,15.42,FALSE
yellow,MEF2A,0.594,0.295,15.17,FALSE
yellow,CSGALNACT1,0.603,0.265,15.14,FALSE
yellow,KIAA1033,0.578,0.31,15.12,FALSE
yellow,RAP2C,0.595,0.247,15.05,FALSE
yellow,BTBD3,0.596,0.347,14.85,FALSE
yellow,MFSD1,0.59,0.355,14.83,FALSE
yellow,PTP4A1,0.591,0.385,14.83,FALSE
yellow,CALML4,0.612,0.309,14.74,FALSE
yellow,ACOT13,0.579,0.487,14.73,FALSE
yellow,RICTOR,0.573,0.381,14.71,FALSE
yellow,SPPL2A,0.591,0.349,14.69,FALSE
yellow,CUTC,0.574,0.4,14.67,FALSE
yellow,LYRM1,0.566,0.365,14.66,FALSE
yellow,CLIP1,0.582,0.294,14.61,FALSE
yellow,DCBLD2,0.596,0.342,14.58,FALSE
yellow,CXCL6,0.594,0.256,14.56,FALSE
yellow,SYF2,0.599,0.49,14.52,FALSE
yellow,RNF145,0.569,0.317,14.46,FALSE
yellow,WBP4,0.598,0.471,14.28,FALSE
yellow,SERPINB2,0.601,0.391,14.21,FALSE
yellow,FBXO38,0.6,0.303,14.2,FALSE
yellow,MRPS36,0.558,0.468,14.2,FALSE
yellow,PIK3AP1,0.563,0.259,14.08,FALSE
yellow,POLB,0.547,0.422,13.85,FALSE
yellow,ATP11A,0.582,0.317,13.66,FALSE
yellow,SMPDL3A,0.592,0.449,13.6,FALSE
yellow,SLC7A11,0.586,0.339,13.56,FALSE
yellow,E2F3,0.563,0.183,13.52,FALSE
yellow,NBN,0.56,0.348,13.38,FALSE
yellow,DHX40,0.563,0.296,13.34,FALSE
yellow,HOOK3,0.572,0.254,13.26,FALSE
yellow,PDGFC,0.578,0.327,13.21,FALSE
yellow,CLEC7A,0.581,0.295,13.1,FALSE
yellow,GTF2B,0.54,0.43,13.08,FALSE
yellow,SLC36A4,0.583,0.347,12.84,FALSE
yellow,LATS2,0.56,0.371,12.73,FALSE
yellow,FBXL4,0.571,0.429,12.72,FALSE
yellow,UBASH3B,0.579,0.25,12.71,FALSE
yellow,CCDC146,0.575,0.387,12.55,FALSE
yellow,TBCC,0.577,0.306,12.52,FALSE
yellow,CSF2RB,0.536,0.17,12.46,FALSE
yellow,ING1,0.564,0.341,12.35,FALSE
yellow,ZNF674,0.558,0.305,12.35,FALSE
yellow,HNMT,0.531,0.396,12.31,FALSE
yellow,HIST1H2AK,0.569,0.354,12.24,FALSE
yellow,SPTY2D1,0.549,0.163,12.12,FALSE
yellow,SAP30,0.564,0.456,12.04,FALSE
yellow,MKLN1,0.548,0.369,11.95,FALSE
yellow,FAM200B,0.549,0.381,11.92,FALSE
yellow,CRADD,0.57,0.36,11.9,FALSE
yellow,HTR7P1,0.563,0.324,11.9,FALSE
yellow,MTFMT,0.552,0.34,11.85,FALSE
yellow,TSPAN2,0.558,0.298,11.81,FALSE
yellow,PBLD,0.568,0.313,11.8,FALSE
yellow,FRMD4B,0.568,0.41,11.74,FALSE
yellow,ZNF608,0.566,0.37,11.72,FALSE
yellow,ANKRD6,0.555,0.344,11.53,FALSE
